-17	13	0	8	-8	-8	-7	7	8	-1	-4	1
-15	0	-16	-3	0	11	2	-3	3	0	1	1
-41	2	4	-7	9	-1	0	-2	7	3	4	1
6	40	-8	-14	-4	-4	-14	-12	-8	-6	-7	1
43	29	-16	7	-23	51	5	4	7	-2	-7	0
6	15	23	-3	14	16	-12	-3	5	-1	0	1
-4	-5	-10	-15	5	-4	6	7	3	-5	0	1
81	4	-25	-26	-13	14	-17	-5	7	5	7	0
1	-28	-1	-14	1	0	-3	-4	-7	1	4	0
44	-20	-2	-11	-7	5	3	-1	-4	-7	-3	0
107	59	-43	20	-18	31	-8	-18	13	-5	-14	0
-34	-14	-1	-6	15	5	-4	0	1	-1	-1	1
-12	7	0	4	-28	14	3	12	-14	-2	-3	1
32	55	-5	23	19	-4	-7	-7	-7	12	14	1
112	98	66	-41	57	9	16	37	-24	52	-14	1
-31	12	-10	-13	-13	1	7	-1	0	1	0	1
-4	9	-13	-6	-7	10	10	-9	4	6	1	1
-19	2	-8	3	1	9	1	3	-6	1	3	1
20	-12	9	-33	-6	-13	6	-5	-2	4	6	0
39	19	-34	2	-5	-4	-4	0	5	3	-1	0
-11	3	18	-18	23	0	7	7	10	0	2	1
-42	1	6	2	-6	8	-5	-3	1	1	0	1
1	15	11	2	24	-2	-6	-2	-2	-7	-2	1
-45	-6	-4	-20	16	5	1	-6	5	1	1	1
19	36	42	-13	-4	17	22	5	-18	-20	15	1
46	8	-30	16	-8	6	1	8	-1	-4	-3	0
93	30	-35	39	37	-4	-13	-10	11	5	11	0
-18	-21	3	14	7	2	-5	-4	-3	3	-3	0
23	-7	-13	1	6	8	-2	-8	4	-3	6	0
73	22	53	-1	5	25	-25	22	1	-14	-6	0
-1	-7	22	-2	-2	9	18	-4	-4	-9	-3	0
62	18	-22	17	21	-2	-7	-1	4	-9	3	0
-24	10	10	9	-13	19	0	5	3	0	2	1
40	44	54	-25	31	9	-21	-12	-10	-5	-11	1
-5	-9	-8	1	3	2	1	2	-4	-6	3	1
-6	14	-13	-6	-4	1	5	-8	2	1	-4	1
-24	0	-4	5	-5	4	9	1	-2	0	8	1
-32	0	-13	-13	-2	-7	-1	3	0	-5	-1	1
-35	-3	-10	-15	-4	6	-3	-1	4	-1	-4	1
-43	9	3	-19	5	10	-8	3	10	-3	-8	1
8	-27	-10	-2	0	-1	2	0	-1	2	0	0
28	13	-13	9	-9	-12	-10	2	-11	-2	1	0
51	4	-24	31	8	6	-1	-3	-7	3	1	0
-4	-16	-4	7	-3	-8	3	2	2	6	-3	0
45	-3	-22	10	-9	-8	-6	1	-4	1	-1	0
21	-38	3	-3	-2	-11	8	-3	4	5	-1	0
-11	0	-9	-13	-9	-1	12	2	0	-1	3	1
-10	5	-22	-4	-3	4	-7	6	-2	-4	-2	1
-24	23	-7	-15	-7	-8	2	4	-2	-1	-2	1
56	13	-18	-17	-6	30	9	2	3	-9	3	0
11	-45	3	5	-5	-6	-2	-2	-5	3	3	0
33	-22	-16	6	-13	-8	-1	-3	-5	9	-1	0
66	6	-11	-18	-25	11	-11	9	-25	-4	7	0
44	-5	-31	18	8	8	-2	4	-2	-8	7	0
-21	-2	-15	-2	1	10	-3	6	3	-1	-5	1
-38	2	7	-17	-8	5	3	-4	5	-2	-5	1
-17	11	7	4	-4	-14	-1	1	8	0	-2	1
-18	-14	-12	-15	1	3	0	5	1	-1	-1	1
-11	9	27	1	17	10	-8	-4	1	1	-1	1
14	-12	26	-8	-8	-10	4	-2	3	4	4	0
39	-14	-18	22	3	2	4	-2	4	0	-2	0
6	-11	-2	-21	0	0	-5	-1	2	-2	-1	0
48	-19	2	10	-5	2	-5	1	-3	6	4	0
